X,Y,class
4.174166033,2.180022675,1
4.222657285,2.163770138,1
3.632247837,2.193915919,1
4.36372528,1.498226268,1
3.903857283,1.472709783,1
3.940310816,1.832925452,1
4.461590482,2.472317162,1
3.903771947,2.131353132,1
3.990777269,1.394769464,1
3.960765767,2.212672109,1
3.770011264,1.903520803,1
5.390486386,1.211957916,1
4.651622555,0.999961346,1
4.967179783,0.381942215,1
5.065660747,1.383662173,1
5.210725465,0.894031625,1
5.000645669,0.758113017,1
4.96948811,0.999377291,1
4.915698711,1.245245097,1
5.211117042,0.870733028,1
4.812825274,0.829824715,1
4.888420946,0.960274891,1
5.013741997,0.574616701,1
4.928742932,1.034334375,1
4.618686603,1.034579456,1
4.647219263,0.998619696,1
4.398317159,1.471865926,1
5.214053241,1.530272612,1
4.808915334,0.722263336,1
5.082737687,0.534468114,1
5.305813166,0.907941644,1
5.125734692,0.685793948,1
5.345176573,0.764839251,1
5.152014978,0.628762344,1
4.712785154,1.15450513,1
5.03053217,0.892505566,1
4.440085075,1.329661654,-1
4.074843775,1.415865194,-1
3.560561474,1.431063334,-1
2.815601921,1.543158935,-1
2.296762072,1.463614081,-1
2.811892095,1.892916289,-1
3.703709408,1.767381664,-1
3.343830529,2.015818971,-1
2.575838611,1.470749285,-1
3.390429488,1.550436156,-1
1.783617336,1.810787552,-1
2.266045116,1.604595243,-1
2.922215702,1.649985101,-1
3.577526041,1.618708956,-1
3.239569646,1.60329799,-1
2.397236811,1.336436622,-1
3.130917988,1.439478285,-1
3.224808274,1.842812705,-1
3.371360002,1.645755448,-1
2.409917293,1.201049396,-1
2.87963124,1.371943423,-1
3.375683117,1.323483734,-1
2.986571716,2.052524137,-1
3.22339233,1.488531021,-1
3.584750328,1.586888319,-1
2.663975803,1.484678796,-1
2.737893193,1.601674335,-1
3.347545307,1.2270967,-1
3.282175802,1.656998405,-1
2.504789569,1.709364567,-1
3.101461871,1.565373948,-1
3.824623033,1.233974536,-1
2.791474366,1.717720832,-1
3.281909034,1.645422361,-1
2.528035387,1.698557578,-1
3.03566856,1.761421683,-1
2.253817166,1.66719747,-1
3.415727063,1.313523029,-1
2.878879052,1.659096174,-1
2.267300936,1.508929146,-1
3.250730411,1.333904134,-1
3.226915392,1.177380607,-1
3.235523282,1.470270781,-1
2.342435617,1.480455731,-1
3.331006182,1.248731164,-1
3.194455802,1.269087434,-1
2.678138414,1.592620322,-1
2.276229097,1.403665037,-1
3.065069342,1.137825407,-1
3.376904601,1.5096988,-1
2.91675348,1.253825076,-1
2.447372148,1.134409931,-1
2.840233959,1.568529998,-1
2.46665888,1.163994097,-1
3.044239722,1.699907815,-1
3.033808991,1.643008049,-1
2.899758182,1.488340111,-1
2.139988231,1.71368756,-1
2.271259634,1.25677086,-1
3.15043818,1.708018085,-1
2.541600428,1.668799921,-1
3.417301205,1.285780869,-1
3.841375996,1.504810328,-1
2.607002716,1.552734574,-1
2.661124483,1.280515862,-1
3.198465752,1.908671876,-1
2.371299125,1.716272216,-1
3.184534559,1.248386521,-1
3.036052638,1.330795414,-1
3.120814606,1.601090871,-1
3.493195245,1.454349692,-1
3.750611811,1.627402796,-1
2.840580363,1.191867091,-1
2.242113196,1.830103617,-1
3.329970386,1.41741086,-1
3.201912519,1.347249179,-1
2.927618997,1.612502986,-1
3.39607076,1.479477447,-1
2.885401511,1.310299322,-1
3.590970977,1.518392507,-1
2.516096445,1.000644861,-1
2.846133312,1.273521226,-1
2.818724898,1.496194389,-1
3.579471394,1.580208997,-1
3.094580745,1.583255147,-1
2.564340299,1.617611682,-1
3.131477685,1.236835195,-1
4.539619748,1.620273582,-1
3.917322228,1.549522766,-1
3.74683634,1.543301255,-1
2.600513031,1.864381606,-1
3.504647,1.726018034,-1
2.074057601,1.672047772,-1
2.710499568,1.53375276,-1
2.293047429,1.360709384,-1
2.609091944,1.634843521,-1
2.858781735,1.77218953,-1
3.756828416,1.456067852,-1
3.6585356,1.361139628,-1
3.317853711,1.787759818,-1
2.958496695,1.61192631,-1
3.668040782,1.33900086,-1
2.567532375,1.446984161,-1
3.354123803,1.365583601,-1
3.370510805,1.736788996,-1
3.49973379,1.330652672,-1
2.351991863,1.668573731,-1
2.701144096,1.892744656,-1
3.562245728,1.519857519,-1
2.687939339,1.408956166,-1
3.221848352,1.426454063,-1
2.728558334,1.369637176,-1
2.35051256,1.458430434,-1
2.904535892,1.845612393,-1
3.813221858,1.41050444,-1
2.772094527,1.583819628,-1
3.414100486,1.594265776,-1
3.034520311,1.399035548,-1
3.117555119,1.315228943,-1
2.671701166,1.241222253,-1
3.063130918,1.261757389,-1
2.738678392,1.49835177,-1
4.003363852,1.472516098,-1
3.087607826,1.710094649,-1
3.354696889,1.627410366,-1
