"member_id","loan_amnt","funded_amnt","term","int_rate","emp_length","home_ownership","annual_inc","verification_status","loan_status","purpose","grade"
11669292,22000,22000,"60 months",19.22,"10+ years","MORTGAGE",50000,"Verified","Current","debt_consolidation","D"
58773903,10000,10000,"36 months",5.32,"10+ years","MORTGAGE",95000,"Not Verified","Current","credit_card","A"
52662041,22400,22400,"60 months",18.55,"10+ years","OWN",121500,"Source Verified","Current","home_improvement","E"
29132636,10475,10475,"36 months",10.99,"1 year","RENT",50000,"Source Verified","Current","debt_consolidation","B"
65579810,6000,6000,"36 months",12.29,"2 years","RENT",89000,"Verified","Current","debt_consolidation","C"
48512068,11000,11000,"60 months",12.29,"2 years","RENT",24980,"Source Verified","Current","debt_consolidation","C"
71138947,20000,20000,"36 months",6.89,"n/a","RENT",150000,"Source Verified","Current","debt_consolidation","A"
58661749,30000,30000,"60 months",13.99,"6 years","MORTGAGE",136000,"Source Verified","Current","debt_consolidation","C"
36935179,4000,4000,"36 months",16.49,"2 years","RENT",28000,"Source Verified","Fully Paid","debt_consolidation","D"
15230113,13000,13000,"60 months",17.57,"8 years","MORTGAGE",40000,"Source Verified","Current","home_improvement","D"
6487512,29175,29175,"60 months",19.05,"6 years","RENT",65000,"Verified","Fully Paid","debt_consolidation","D"
8007270,11500,11500,"36 months",9.71,"5 years","RENT",35000,"Not Verified","Current","debt_consolidation","B"
57034920,15000,15000,"36 months",11.53,"< 1 year","MORTGAGE",85000,"Not Verified","Current","debt_consolidation","B"
31597032,22475,22475,"60 months",20.2,"10+ years","MORTGAGE",64000,"Source Verified","Current","credit_card","E"
54896730,10000,10000,"36 months",11.53,"10+ years","MORTGAGE",105000,"Source Verified","Fully Paid","credit_card","B"
12030482,12000,12000,"36 months",13.98,"10+ years","OWN",30000,"Verified","Current","credit_card","C"
10537452,9000,9000,"36 months",19.52,"< 1 year","RENT",75000,"Not Verified","Fully Paid","other","D"
1598590,3000,3000,"36 months",16.29,"2 years","MORTGAGE",80000,"Verified","Fully Paid","home_improvement","C"
33559432,12800,12800,"36 months",14.49,"8 years","MORTGAGE",85000,"Source Verified","Current","debt_consolidation","C"
55639070,8000,8000,"36 months",6.24,"< 1 year","RENT",50000,"Not Verified","Current","debt_consolidation","A"
2832485,12000,12000,"36 months",14.09,"< 1 year","MORTGAGE",1e+05,"Source Verified","Fully Paid","debt_consolidation","B"
23713323,3600,3600,"36 months",18.24,"10+ years","RENT",65190,"Not Verified","Charged Off","other","D"
65500472,5000,5000,"36 months",7.26,"8 years","RENT",50000,"Source Verified","Current","debt_consolidation","A"
18283596,7200,7200,"36 months",12.49,"< 1 year","RENT",27000,"Verified","Current","credit_card","B"
8310681,21000,21000,"60 months",8.9,"9 years","MORTGAGE",141000,"Verified","Current","debt_consolidation","A"
54735870,15000,15000,"60 months",13.33,"2 years","MORTGAGE",35000,"Not Verified","In Grace Period","debt_consolidation","C"
13620140,10000,10000,"60 months",20.5,"7 years","RENT",60000,"Source Verified","Current","other","E"
27680163,20125,20125,"36 months",12.49,"10+ years","RENT",48000,"Source Verified","Current","debt_consolidation","B"
6479339,10000,10000,"36 months",9.71,"4 years","MORTGAGE",120000,"Source Verified","Fully Paid","home_improvement","B"
43337600,8000,8000,"36 months",7.49,"7 years","RENT",19000,"Not Verified","Current","debt_consolidation","A"
63199089,5000,5000,"36 months",13.33,"2 years","OWN",32000,"Source Verified","Current","debt_consolidation","C"
16702859,16000,16000,"36 months",14.64,"10+ years","OWN",55000,"Verified","Fully Paid","debt_consolidation","C"
48329904,15000,15000,"36 months",9.99,"10+ years","RENT",122000,"Verified","Current","debt_consolidation","B"
15098179,6600,6600,"36 months",15.31,"8 years","MORTGAGE",41000,"Source Verified","Current","debt_consolidation","C"
63743552,15000,15000,"36 months",8.18,"10+ years","MORTGAGE",180000,"Not Verified","Current","debt_consolidation","B"
42103288,5000,5000,"36 months",8.19,"10+ years","MORTGAGE",38000,"Source Verified","Current","debt_consolidation","A"
7648526,2800,2800,"36 months",21.15,"10+ years","RENT",36000,"Verified","Fully Paid","debt_consolidation","E"
63069041,25000,25000,"60 months",13.33,"3 years","MORTGAGE",80000,"Not Verified","Current","debt_consolidation","C"
26286709,35000,35000,"60 months",20.99,"10+ years","MORTGAGE",98000,"Verified","Current","debt_consolidation","E"
57789248,6000,6000,"36 months",7.89,"5 years","MORTGAGE",72600,"Source Verified","Current","debt_consolidation","A"
8765666,8000,8000,"36 months",18.85,"< 1 year","RENT",75000,"Source Verified","Charged Off","debt_consolidation","D"
54168982,2650,2650,"36 months",9.99,"10+ years","MORTGAGE",92000,"Not Verified","Current","debt_consolidation","B"
44016471,2500,2500,"36 months",13.33,"10+ years","OWN",136000,"Verified","Current","other","C"
17742653,3200,3200,"36 months",23.43,"10+ years","MORTGAGE",40000,"Not Verified","Current","home_improvement","F"
8648326,30000,30000,"60 months",12.35,"10+ years","MORTGAGE",75000,"Verified","Fully Paid","home_improvement","B"
4636994,14400,14400,"36 months",12.12,"3 years","RENT",42000,"Not Verified","Fully Paid","debt_consolidation","B"
3961318,20000,20000,"36 months",7.9,"< 1 year","RENT",80000,"Verified","Current","debt_consolidation","A"
5488783,23850,23850,"36 months",19.05,"10+ years","RENT",68500,"Verified","Fully Paid","debt_consolidation","D"
5329807,8400,8400,"36 months",7.62,"1 year","MORTGAGE",84000,"Verified","Fully Paid","credit_card","A"
7647082,19200,19200,"60 months",17.56,"10+ years","MORTGAGE",110000,"Verified","Current","debt_consolidation","D"
67788937,8000,8000,"36 months",13.99,"7 years","RENT",42000,"Source Verified","Current","debt_consolidation","C"
11961229,15000,15000,"60 months",16.24,"1 year","MORTGAGE",50000,"Verified","Current","credit_card","C"
24706404,9000,9000,"36 months",16.99,"10+ years","MORTGAGE",75000,"Not Verified","Late (31-120 days)","debt_consolidation","D"
63445485,10000,10000,"36 months",16.55,"< 1 year","RENT",28800,"Verified","Current","debt_consolidation","D"
15248610,10000,10000,"36 months",11.99,"2 years","RENT",110000,"Verified","Current","credit_card","B"
11698368,17625,17625,"36 months",13.98,"3 years","RENT",52000,"Verified","Fully Paid","debt_consolidation","C"
43682282,24000,24000,"60 months",18.25,"10+ years","RENT",156000,"Verified","Current","debt_consolidation","E"
22861795,35000,35000,"36 months",11.67,"10+ years","MORTGAGE",120000,"Source Verified","Current","debt_consolidation","B"
61487099,28000,28000,"36 months",7.89,"< 1 year","RENT",230000,"Source Verified","Current","credit_card","A"
4067694,29175,29175,"36 months",13.11,"9 years","MORTGAGE",65000,"Verified","Charged Off","debt_consolidation","B"
49283299,18000,18000,"36 months",13.33,"10+ years","MORTGAGE",248000,"Verified","Current","home_improvement","C"
49874884,20000,20000,"36 months",10.99,"n/a","OWN",55000,"Verified","Current","credit_card","B"
1432971,13200,13200,"36 months",12.12,"5 years","RENT",27000,"Not Verified","Charged Off","debt_consolidation","B"
11959614,28000,28000,"60 months",14.98,"< 1 year","RENT",160000,"Source Verified","Current","debt_consolidation","C"
57638360,14000,14000,"36 months",7.89,"< 1 year","RENT",81000,"Verified","Current","medical","A"
72069612,26400,26400,"36 months",9.76,"< 1 year","RENT",82000,"Verified","Current","debt_consolidation","B"
61487206,20000,20000,"36 months",13.33,"10+ years","RENT",62000,"Verified","Current","debt_consolidation","C"
10307254,9000,9000,"36 months",12.99,"< 1 year","RENT",30000,"Not Verified","Fully Paid","credit_card","B"
24586043,11200,11200,"36 months",10.99,"10+ years","RENT",52000,"Source Verified","Current","debt_consolidation","B"
7946713,35000,35000,"60 months",21,"10+ years","MORTGAGE",85000,"Verified","Fully Paid","debt_consolidation","E"
41418953,5750,5750,"36 months",12.99,"10+ years","MORTGAGE",30000,"Not Verified","Fully Paid","home_improvement","C"
49563903,17275,17275,"60 months",21.67,"< 1 year","RENT",38000,"Source Verified","Current","debt_consolidation","E"
70419870,6400,6400,"36 months",9.17,"10+ years","RENT",34000,"Verified","Current","debt_consolidation","B"
16450569,18000,18000,"36 months",12.99,"9 years","RENT",78000,"Source Verified","Current","credit_card","B"
53632116,18000,18000,"36 months",5.32,"7 years","MORTGAGE",117000,"Not Verified","Current","debt_consolidation","A"
3408439,15000,15000,"36 months",10.16,"5 years","MORTGAGE",40000,"Verified","Current","debt_consolidation","B"
54485135,19000,19000,"36 months",6.24,"6 years","MORTGAGE",45000,"Not Verified","Current","credit_card","A"
72667745,7500,7500,"36 months",14.48,"< 1 year","MORTGAGE",130000,"Verified","Current","debt_consolidation","C"
13686890,10000,10000,"36 months",10.99,"3 years","MORTGAGE",70000,"Verified","Current","credit_card","B"
63117587,21600,21600,"60 months",15.61,"< 1 year","OWN",63000,"Not Verified","Current","debt_consolidation","D"
59770109,30000,30000,"60 months",15.61,"10+ years","MORTGAGE",105000,"Verified","Current","debt_consolidation","D"
67731653,35000,35000,"36 months",15.61,"2 years","MORTGAGE",2e+05,"Source Verified","Current","home_improvement","D"
51350787,28000,28000,"60 months",19.52,"1 year","MORTGAGE",120000,"Source Verified","Current","debt_consolidation","E"
62523456,18900,18900,"36 months",12.69,"10+ years","MORTGAGE",75000,"Verified","Current","credit_card","C"
51804818,12000,12000,"36 months",9.17,"n/a","RENT",89000,"Verified","Current","debt_consolidation","B"
58629469,15000,15000,"36 months",6.24,"5 years","RENT",60000,"Not Verified","Current","credit_card","A"
66661951,8275,8275,"36 months",20.99,"n/a","OWN",23000,"Verified","Current","debt_consolidation","E"
25525881,10000,10000,"36 months",12.49,"3 years","MORTGAGE",53000,"Not Verified","Current","debt_consolidation","B"
1380384,7000,7000,"36 months",12.12,"2 years","RENT",70000,"Not Verified","Fully Paid","debt_consolidation","B"
13786894,16225,16225,"36 months",15.61,"3 years","RENT",37000,"Not Verified","Current","debt_consolidation","C"
50863036,13375,13375,"60 months",16.99,"5 years","MORTGAGE",45000,"Not Verified","Current","debt_consolidation","D"
71362134,24000,24000,"36 months",7.89,"8 years","RENT",150000,"Source Verified","Current","debt_consolidation","A"
16350481,5650,5650,"36 months",15.31,"n/a","MORTGAGE",29552.76,"Verified","Current","debt_consolidation","C"
40966011,10000,10000,"36 months",12.99,"6 years","MORTGAGE",65000,"Source Verified","Current","credit_card","C"
69151850,7650,7650,"36 months",17.57,"n/a","RENT",29000,"Source Verified","Current","debt_consolidation","D"
70386741,25000,25000,"36 months",6.24,"3 years","MORTGAGE",97600,"Verified","Current","debt_consolidation","A"
49942406,15000,15000,"36 months",6.92,"2 years","MORTGAGE",40000,"Verified","Current","debt_consolidation","A"
19727772,35000,35000,"60 months",14.49,"10+ years","MORTGAGE",105000,"Source Verified","Current","debt_consolidation","C"
63108594,18075,18075,"36 months",13.33,"n/a","OWN",40200,"Verified","Current","debt_consolidation","C"
44124096,10000,10000,"36 months",12.29,"2 years","MORTGAGE",105000,"Source Verified","Current","debt_consolidation","C"
7358051,26375,26375,"60 months",17.56,"10+ years","MORTGAGE",60000,"Verified","Charged Off","debt_consolidation","D"
66422981,30000,30000,"36 months",17.57,"9 years","MORTGAGE",82000,"Verified","Current","debt_consolidation","D"
2686881,10000,10000,"36 months",13.35,"10+ years","OWN",50000,"Not Verified","Current","credit_card","C"
64771078,8500,8500,"36 months",11.53,"8 years","RENT",35000,"Verified","Current","debt_consolidation","B"
62988567,16000,16000,"60 months",11.53,"10+ years","MORTGAGE",50732.96,"Verified","Current","debt_consolidation","B"
64341965,9600,9600,"36 months",7.89,"10+ years","MORTGAGE",60000,"Not Verified","Current","debt_consolidation","A"
44256855,10000,10000,"36 months",7.89,"2 years","RENT",52000,"Not Verified","Current","major_purchase","A"
43946154,15000,15000,"36 months",7.89,"10+ years","RENT",67000,"Source Verified","Current","debt_consolidation","A"
15399572,10000,10000,"60 months",18.92,"< 1 year","RENT",102000,"Source Verified","Current","debt_consolidation","D"
67829087,5225,5225,"36 months",16.55,"3 years","MORTGAGE",62000,"Not Verified","Current","home_improvement","D"
8309928,21250,21250,"60 months",11.55,"10+ years","MORTGAGE",56000,"Verified","Fully Paid","debt_consolidation","B"
67546175,10000,10000,"60 months",9.17,"3 years","MORTGAGE",76500,"Not Verified","Current","debt_consolidation","B"
65025781,35000,35000,"60 months",20.99,"2 years","RENT",110000,"Source Verified","Current","debt_consolidation","E"
7416731,7350,7350,"36 months",22.2,"2 years","RENT",50000,"Verified","Fully Paid","other","E"
70446351,14400,14400,"36 months",6.89,"1 year","OWN",52000,"Not Verified","Current","home_improvement","A"
2637959,23675,23675,"60 months",16.29,"< 1 year","MORTGAGE",54000,"Verified","Fully Paid","debt_consolidation","C"
44104298,20000,20000,"36 months",10.99,"2 years","MORTGAGE",1e+05,"Source Verified","Current","small_business","B"
44285769,25000,25000,"36 months",6.92,"< 1 year","MORTGAGE",125000,"Source Verified","Current","debt_consolidation","A"
68458841,9000,9000,"36 months",12.59,"2 years","RENT",65000,"Source Verified","Current","debt_consolidation","C"
26208087,13375,13375,"60 months",22.15,"10+ years","MORTGAGE",45000,"Source Verified","Fully Paid","debt_consolidation","E"
61446170,5600,5600,"36 months",9.99,"1 year","OWN",50000,"Verified","Current","debt_consolidation","B"
49393467,12500,12500,"36 months",8.18,"10+ years","RENT",70000,"Verified","Current","credit_card","B"
61645546,3000,3000,"36 months",10.99,"2 years","RENT",23000,"Verified","Current","other","B"
68328072,6825,6825,"36 months",14.33,"4 years","RENT",48880,"Not Verified","Current","debt_consolidation","C"
9657952,17400,17400,"36 months",11.99,"5 years","MORTGAGE",50400,"Source Verified","Fully Paid","home_improvement","B"
18233832,18000,18000,"36 months",8.39,"4 years","RENT",1e+05,"Source Verified","Current","debt_consolidation","A"
13677272,33575,33575,"36 months",16.24,"< 1 year","MORTGAGE",80000,"Source Verified","Current","debt_consolidation","C"
5819716,16000,16000,"60 months",21.49,"10+ years","RENT",42000,"Verified","Fully Paid","credit_card","E"
59642334,11650,11650,"60 months",18.25,"2 years","MORTGAGE",61000,"Source Verified","Current","debt_consolidation","E"
31256958,10000,10000,"36 months",10.99,"< 1 year","RENT",56000,"Source Verified","Fully Paid","debt_consolidation","B"
18404228,35000,35000,"60 months",24.08,"2 years","MORTGAGE",336000,"Verified","Current","medical","F"
4420862,20000,20000,"60 months",15.31,"3 years","RENT",58100,"Verified","Fully Paid","credit_card","C"
61417280,4000,4000,"36 months",12.69,"10+ years","MORTGAGE",62000,"Verified","Fully Paid","house","C"
63395249,22600,22600,"36 months",17.57,"5 years","RENT",72000,"Verified","Current","credit_card","D"
11629370,2000,2000,"36 months",14.47,"n/a","RENT",21500,"Source Verified","Charged Off","debt_consolidation","C"
69857225,5000,5000,"36 months",8.18,"10+ years","MORTGAGE",60000,"Not Verified","Current","credit_card","B"
13787207,22575,22575,"36 months",13.65,"10+ years","MORTGAGE",125000,"Source Verified","Current","credit_card","C"
63110582,10400,10400,"36 months",15.61,"6 years","RENT",26000,"Verified","Current","debt_consolidation","D"
52285394,35000,35000,"36 months",9.17,"10+ years","MORTGAGE",103000,"Verified","Current","debt_consolidation","B"
47893092,16000,16000,"36 months",12.69,"8 years","MORTGAGE",65000,"Not Verified","Fully Paid","debt_consolidation","C"
49749871,18400,18400,"36 months",12.69,"2 years","MORTGAGE",80000,"Source Verified","Current","debt_consolidation","C"
14978476,18000,18000,"60 months",25.57,"10+ years","RENT",60000,"Source Verified","Charged Off","debt_consolidation","F"
13148343,20000,20000,"36 months",8.9,"4 years","MORTGAGE",80000,"Source Verified","Fully Paid","debt_consolidation","A"
62835956,30000,30000,"36 months",9.99,"2 years","MORTGAGE",204000,"Source Verified","Current","credit_card","B"
70285217,23000,23000,"60 months",9.17,"10+ years","MORTGAGE",56000,"Source Verified","Current","debt_consolidation","B"
42172836,5800,5800,"36 months",11.44,"3 years","MORTGAGE",40000,"Not Verified","Current","debt_consolidation","B"
1510878,10000,10000,"36 months",6.62,"2 years","RENT",45000,"Source Verified","Fully Paid","debt_consolidation","A"
7187798,5000,5000,"36 months",14.33,"10+ years","OWN",65000,"Source Verified","Current","debt_consolidation","C"
65438412,4800,4800,"36 months",9.99,"10+ years","OWN",65000,"Verified","Current","debt_consolidation","B"
1457798,5400,5400,"36 months",6.62,"10+ years","MORTGAGE",68000,"Not Verified","Fully Paid","other","A"
11954503,11200,11200,"60 months",17.57,"10+ years","MORTGAGE",43000,"Verified","Fully Paid","credit_card","D"
29612890,18000,18000,"60 months",25.89,"10+ years","OWN",55000,"Verified","Current","debt_consolidation","G"
48290114,2400,2400,"36 months",13.99,"4 years","MORTGAGE",74256,"Verified","Current","debt_consolidation","C"
62394000,9000,9000,"36 months",10.99,"4 years","RENT",65000,"Source Verified","Current","debt_consolidation","B"
7233425,28000,28000,"36 months",13.11,"< 1 year","MORTGAGE",70000,"Verified","Fully Paid","debt_consolidation","B"
65580971,5000,5000,"36 months",13.33,"8 years","RENT",65000,"Source Verified","Current","other","C"
70424460,10000,10000,"36 months",15.41,"3 years","RENT",110000,"Source Verified","Current","debt_consolidation","D"
15980165,13250,13250,"36 months",18.92,"9 years","MORTGAGE",55000,"Not Verified","Fully Paid","credit_card","D"
13496765,30000,30000,"36 months",20.5,"10+ years","RENT",100738,"Verified","Current","debt_consolidation","E"
8387529,18225,18225,"36 months",19.52,"3 years","RENT",41600,"Verified","Charged Off","major_purchase","D"
71450385,5000,5000,"36 months",9.17,"10+ years","MORTGAGE",43000,"Source Verified","Current","debt_consolidation","B"
64120060,18625,18625,"60 months",20.99,"n/a","MORTGAGE",44400,"Not Verified","Current","credit_card","E"
33770130,31025,31025,"60 months",25.57,"< 1 year","MORTGAGE",2e+05,"Source Verified","Fully Paid","debt_consolidation","F"
60747140,21000,21000,"36 months",9.17,"< 1 year","MORTGAGE",108000,"Not Verified","Current","credit_card","B"
51804690,6500,6500,"36 months",16.99,"10+ years","RENT",66000,"Source Verified","Current","debt_consolidation","D"
67832458,11200,11200,"60 months",14.65,"10+ years","MORTGAGE",76000,"Not Verified","Current","debt_consolidation","C"
756779,12000,12000,"36 months",13.23,"10+ years","RENT",96000,"Source Verified","Fully Paid","debt_consolidation","C"
61402942,10000,10000,"60 months",13.99,"2 years","RENT",40000,"Verified","Current","debt_consolidation","C"
14497365,32950,32950,"60 months",18.92,"9 years","MORTGAGE",75000,"Verified","Current","credit_card","D"
67751656,12000,12000,"36 months",14.65,"8 years","MORTGAGE",85000,"Source Verified","Current","debt_consolidation","C"
59669117,3000,3000,"36 months",9.17,"10+ years","RENT",73544,"Source Verified","Current","vacation","B"
58879733,4000,4000,"36 months",10.99,"10+ years","RENT",45000,"Not Verified","Current","credit_card","B"
