"","gawks","ac"
"245",24.28572,197
"246",24.42857,203
"247",24.42857,205
"248",24.42857,190
"249",24.42857,221
"250",24.42857,193
"251",24.57143,200
"252",24.57143,194
"253",24.71428,209
"254",24.71428,202
"255",24.71428,249
"256",24.71428,207
"257",24.71428,183
"258",24.85714,180
"259",24.85714,224
"260",24.85714,192
"261",25,203
"262",25,200
"263",25,194
"264",25,202
"265",25,203
"266",25,194
"267",25,195
"268",25,198
"269",25.14286,208
"270",25.14286,211
"271",25.14286,218
"272",25.14286,210
"273",25.14286,216
"274",25.28572,200
"275",25.42857,214
"276",25.42857,205
"277",25.42857,214
"278",25.57143,203
"279",25.71428,205
"280",25.85714,203
"281",25.85714,210
"282",25.85714,220
"283",26,223
"284",26,223
"285",26,210
"286",26,204
"287",26.14286,219
"288",26.14286,226
"289",26.28572,228
"290",26.28572,214
"291",26.28572,227
"292",26.57143,235
"293",26.57143,230
"294",26.57143,217
"295",26.57143,214
"296",26.71428,227
"297",26.71428,221
"298",26.71428,215
"299",26.71428,223
"300",26.71428,223
"301",26.71428,236
"302",26.85714,238
"303",26.85714,233
"304",27,214
"305",27,224
"306",27,240
"307",27,222
"308",27.14286,224
"309",27.14286,218
"310",27.14286,209
"311",27.28572,234
"312",27.28572,216
"313",27.42857,246
"314",27.42857,243
"315",27.57143,234
"316",27.57143,257
"317",27.71428,231
"318",27.71428,238
"319",27.71428,231
"320",27.71428,255
"321",27.71428,222
"322",27.71428,216
"323",27.85714,232
"324",27.85714,249
"325",27.85714,237
"326",27.85714,255
"327",27.85714,232
"328",28,228
"329",28.14286,239
"330",28.14286,219
"331",28.14286,239
"332",28.14286,259
"333",28.14286,244
"334",28.14286,229
"335",28.14286,234
"336",28.28572,248
"337",28.28572,251
"338",28.28572,249
"339",28.28572,234
"340",28.42857,258
"341",28.42857,280
"342",28.42857,253
"343",28.85714,249
"344",28.85714,244
"345",28.85714,266
"346",29,259
"347",29,258
"348",29,262
"349",29,253
"350",29.14286,249
"351",29.28572,255
"352",29.42857,253
"353",29.42857,252
"354",29.42857,237
"355",29.42857,259
"356",29.57143,247
"357",29.57143,248
"358",29.71428,252
"359",29.71428,269
"360",29.71428,228
"361",29.85714,244
"362",29.85714,265
"363",29.85714,258
"364",29.85714,245
"365",30,243
"366",30,263
"367",30,249
"368",30.14286,289
"369",30.14286,258
"370",30.14286,257
"371",30.14286,243
"372",30.14286,240
"373",30.28572,249
"374",30.28572,242
"375",30.28572,250
"376",30.42857,258
"377",30.57143,235
"378",30.57143,273
"379",30.57143,265
"380",30.57143,259
"381",30.57143,273
"382",30.71428,264
"383",31,268
"384",31,268
"385",31.14286,271
"386",31.14286,263
"387",31.14286,288
"388",31.14286,276
"389",31.28572,268
"390",31.28572,257
"391",31.42857,308
"392",31.42857,287
"393",31.42857,274
"394",31.42857,320
"395",31.42857,270
"396",31.57143,274
"397",31.57143,286
"398",31.71428,266
"399",31.71428,273
"400",31.85714,272
"401",31.85714,284
"402",31.85714,258
"403",31.85714,283
"404",31.85714,302
"405",31.85714,257
"406",31.85714,301
"407",32,282
"408",32,283
"409",32,290
"410",32,307
"411",32.14286,284
"412",32.14286,269
"413",32.14286,271
"414",32.28571,287
"415",32.28571,273
"416",32.28571,280
"417",32.42857,267
"418",32.42857,285
"419",32.42857,277
"420",32.42857,283
"421",32.57143,283
"422",32.71429,285
"423",32.71429,317
"424",32.71429,295
"425",32.71429,254
"426",32.71429,287
"427",32.85714,290
"428",32.85714,268
"429",32.85714,290
"430",33,306
"431",33,284
"432",33,290
"433",33.14286,289
"434",33.14286,307
"435",33.14286,309
"436",33.14286,336
"437",33.28571,278
"438",33.28571,307
"439",33.28571,323
"440",33.42857,244
"441",33.57143,269
"442",33.57143,269
"443",33.71429,321
"444",33.71429,315
"445",33.71429,296
"446",33.71429,304
"447",33.85714,314
"448",33.85714,326
"449",33.85714,295
"450",34.14286,292
"451",34.14286,301
"452",34.28571,319
"453",34.28571,288
"454",34.28571,291
"455",34.28571,297
"456",34.42857,285
"457",34.42857,311
"458",34.42857,304
"459",34.42857,317
"460",34.42857,307
"461",34.42857,300
"462",34.42857,286
"463",34.42857,326
"464",34.57143,296
"465",34.57143,303
"466",34.71429,301
"467",34.71429,318
"468",34.71429,289
"469",35,286
"470",35,312
"471",35.14286,313
"472",35.14286,305
"473",35.14286,333
"474",35.14286,302
"475",35.14286,313
"476",35.28571,326
"477",35.28571,303
"478",35.28571,330
"479",35.28571,344
"480",35.42857,311
"481",35.57143,303
"482",35.57143,319
"483",35.71429,328
"484",35.71429,311
"485",35.85714,332
"486",35.85714,270
"487",35.85714,339
"488",35.85714,312
"489",36,315
"490",36,320
"491",36,305
"492",36,316
"493",36,302
"494",36,332
"495",36.14286,311
"496",36.14286,311
"497",36.14286,320
"498",36.28571,299
"499",36.28571,337
"500",36.42857,327
"501",36.42857,351
"502",36.42857,306
"503",36.42857,352
"504",36.42857,326
"505",36.57143,334
"506",36.57143,362
"507",36.57143,333
"508",36.57143,313
"509",36.71429,319
"510",36.85714,321
"511",36.85714,283
"512",37,350
"513",37,335
"514",37,336
"515",37.14286,329
"516",37.14286,324
"517",37.28571,356
"518",37.28571,321
"519",37.28571,326
"520",37.42857,329
"521",37.57143,312
"522",37.71429,312
"523",37.71429,283
"524",37.71429,389
"525",37.85714,341
"526",37.85714,337
"527",37.85714,319
"528",38,314
"529",38.14286,322
"530",38.14286,343
"531",38.28571,315
"532",38.28571,345
"533",38.28571,312
"534",38.28571,359
"535",38.42857,326
"536",38.42857,357
"537",38.42857,341
"538",38.57143,356
"539",38.57143,335
"540",38.57143,351
"541",38.57143,322
"542",38.71429,302
"543",38.71429,336
"544",38.71429,362
"545",38.85714,342
"546",38.85714,340
"547",38.85714,344
"548",39,336
"549",39,348
"550",39,352
"551",39,342
"552",39.14286,325
"553",39.14286,329
"554",39.14286,323
"555",39.28571,370
"556",39.28571,394
"557",39.57143,314
"558",39.71429,355
"559",39.71429,379
"560",39.85714,404
"561",39.85714,331
"562",40,338
"563",40.14286,380
"564",40.14286,345
"565",40.28571,392
"566",40.28571,377
"567",40.42857,352
"568",40.42857,358
"569",40.71429,382
"570",40.71429,391
"571",40.71429,357
"572",40.85714,334
"573",40.85714,356
"574",40.85714,387
"575",40.85714,363
"576",40.85714,377
"577",41,378
"578",41,387
"579",41.14286,363
"580",41.14286,383
"581",41.14286,367
"582",41.14286,372
"583",41.14286,359
"584",41.28571,347
"585",41.42857,368
"586",41.57143,371
"587",41.57143,383
"588",41.71429,359
"589",41.71429,378
"590",41.71429,355
"591",41.85714,370
"592",41.85714,293
"593",41.85714,347
"594",41.85714,356
"595",41.85714,351
"596",42,344
"597",42,379
"598",42,360
"599",42,355
"600",42,373
"601",42,352
"602",42,350
"603",42,353
"604",42.14286,378
"605",42.14286,373
"606",42.14286,343
"607",42.14286,390
"608",42.14286,384
"609",42.28571,351
"610",42.42857,342
