AccidentType,inckey,Fatalities,Injuries,TrackDamage,EquipmentDamage,HazmatCars,HazmatCarsDerailed,HazmatCarsReleasing,County,DisplayDate,DisplayTime,calendar,Fiscal,AccidentCause,RailroadCodes,RAILEQUIPMENT_TYPE,CauseGroup,CauseDiscipline,TYPE_OF_TRACK,StateName,latitude,longitude,GeoLocation
Derailments,2011:09:PNWR:PNW183911D,0,0,12495,1500,0,0,0,LINCOLN,9/23/2011 0:00,6:35,2011,2011,"T101,","PNWR,",1,"T1,","T,",MAIN,Oregon,44.598157,-123.906314,"Oregon
(44.598157, -123.906314)"
Other events,2012:12:OCSR:1201,0,0,30000,0,0,0,0,TILLAMOOK,12/1/2012 0:00,8:05,2012,2013,"T401,","OCSR,",4,"T4,","T,",MAIN,Oregon,45.46509,-123.8342,"Oregon
(45.46509, -123.8342)"
Derailments,2014:04:PSAP:PSA558914D,0,0,26000,126000,0,0,0,GRAYS HARBOR,4/29/2014 0:00,1:00,2014,2014,"T110,","PSAP,",1,"T1,","T,",MAIN,Washington,46.967218,-123.824507,"Washington
(46.967218, -123.824507)"
Derailments,2014:05:PSAP:PSA563914D,0,0,60000,44700,0,0,0,GRAYS HARBOR,5/9/2014 0:00,23:50,2014,2014,"T111,","PSAP,",1,"T1,","T,",MAIN,Washington,46.976292,-123.808437,"Washington
(46.976292, -123.808437)"
Derailments,2016:05:PSAP:PSA983816D,0,0,200000,457169,0,0,0,GRAYS HARBOR,5/31/2016 0:00,14:00,2016,2016,"T204,","PSAP,",1,"T2,","T,",MAIN,Washington,46.963072,-123.704706,"Washington
(46.963072, -123.704706)"
Derailments,2014:05:PSAP:PSA567314D,0,0,189450,350000,0,0,0,GRAYS HARBOR,5/15/2014 0:00,16:25,2014,2014,"T109,","PSAP,",1,"T1,","T,",MAIN,Washington,46.963507,-123.678955,"Washington
(46.963507, -123.678955)"
Derailments,2015:03:PNWR:PNW715315D,0,0,1500,16000,0,0,0,LINCOLN,3/26/2015 0:00,1:40,2015,2015,"T101,","PNWR,",1,"T1,","T,",MAIN,Oregon,44.648739,-123.649753,"Oregon
(44.648739, -123.649753)"
Derailments,2014:01:PNWR:PNW502414R,0,0,0,16000,0,0,0,LINCOLN,1/21/2014 0:00,23:30,2014,2014,"H311,","PNWR,",7,"H3,","H,",INDUSTRY,Oregon,44.36465,-123.568466,"Oregon
(44.36465, -123.568466)"
Derailments,2014:10:PNWR:PNW643514D,0,0,18336,20000,0,0,0,BENTON,10/24/2014 0:00,23:40,2014,2015,"T113,","PNWR,",1,"T1,","T,",MAIN,Oregon,44.605,-123.526111,"Oregon
(44.605, -123.526111)"
Derailments,2011:08:WTLC:WTLC080911,0,0,16750,40000,0,0,0,TERRY,8/9/2011 0:00,17:50,2011,2011,"T221,","WTLC,",1,"T2,","T,",MAIN,Texas,23.456,-123.456,"Texas
(23.456, -123.456)"
Derailments,2013:12:CORP:COR488713D,0,1,24000,56000,0,0,0,DOUGLAS,12/21/2013 0:00,2:00,2013,2014,"T299,T220,","CORP,",1,"T2,","T,",SIDING,Oregon,42.740466,-123.434248,"Oregon
(42.740466, -123.434248)"
Derailments,2014:09:CORP:COR622814R,0,0,8950,12000,0,0,0,DOUGLAS,9/2/2014 0:00,23:30,2014,2014,"H704,","CORP,",1,"H7,","H,",INDUSTRY,Oregon,43.087946,-123.41511,"Oregon
(43.087946, -123.41511)"
Highway-rail impact,2015:08:CORP:COR786615G,0,0,2350,10000,0,0,0,DOUGLAS,8/13/2015 0:00,1:25,2015,2015,"M302,","CORP,",1,"M3,","M,",MAIN,Oregon,42.940681,-123.38649,"Oregon
(42.940681, -123.38649)"
Other impacts,2011:07:CORP:IC110349,0,0,0,135000,0,0,0,DOUGLAS,7/8/2011 0:00,5:20,2011,2011,"H104,","CORP,",8,"H1,","H,",YARD,Oregon,43.30289,-123.350561,"Oregon
(43.30289, -123.350561)"
Derailments,2014:11:CORP:COR654914D,0,0,70000,110000,4,0,0,DOUGLAS,11/17/2014 0:00,10:20,2014,2015,"T207,","CORP,",1,"T2,","T,",MAIN,Oregon,43.414346,-123.307607,"Oregon
(43.414346, -123.307607)"
Derailments,2015:01:CORP:COR675415D,0,0,49000,10000,0,0,0,LANE,1/2/2015 0:00,7:52,2015,2015,"T207,","CORP,",1,"T2,","T,",MAIN,Oregon,43.739616,-123.185738,"Oregon
(43.739616, -123.185738)"
Derailments,2012:02:CORP:ID120070,0,0,21495,3200,0,0,0,DOUGLAS,2/10/2012 0:00,11:50,2012,2012,"T102,","CORP,",1,"T1,","T,",MAIN,Oregon,43.751846,-123.166394,"Oregon
(43.751846, -123.166394)"
Derailments,2014:11:CORP:COR652814D,0,0,55000,95000,2,0,0,LANE,11/12/2014 0:00,3:19,2014,2015,"T207,","CORP,",1,"T2,","T,",MAIN,Oregon,43.753698,-123.155593,"Oregon
(43.753698, -123.155593)"
Derailments,2013:11:UP:1113PD006,0,0,1485,35000,0,0,0,LANE,11/10/2013 0:00,4:45,2013,2014,"T111,M501,","ATK,UP,",2,"T1,M5,","T,M,",YARD,Oregon,44.090169,-123.15226,"Oregon
(44.090169, -123.15226)"
Derailments,2013:05:UP:0513PD018,0,0,1820,111680,0,0,0,LANE,5/29/2013 0:00,3:00,2013,2013,"T202,","UP,",7,"T2,","T,",YARD,Oregon,44.068023,-123.127202,"Oregon
(44.068023, -123.127202)"
Derailments,2016:04:UP:0416PD005,0,0,26104,58770,0,0,0,LANE,4/12/2016 0:00,15:55,2016,2016,"M409,","UP,",1,"M4,","M,",YARD,Oregon,44.065121,-123.12136,"Oregon
(44.065121, -123.12136)"
Derailments,2013:12:PSAP:PSA488513D,0,0,42500,173392,0,0,0,GRAYS HARBOR,12/23/2013 0:00,14:34,2013,2014,"T101,T222,","PSAP,",1,"T1,T2,","T,",MAIN,Washington,47.691,-123.11148,"Washington
(47.691, -123.11148)"
Derailments,2013:10:UP:1013PD010,0,0,25703,0,0,0,0,LINN,10/15/2013 0:00,19:30,2013,2014,"E53C,","PNWR,UP,",1,"E5,","E,",MAIN,Oregon,44.445119,-123.108136,"Oregon
(44.445119, -123.108136)"
Derailments,2014:09:PNWR:PNW632014D,0,0,8200,45000,0,0,0,LINN,9/20/2014 0:00,4:40,2014,2014,"T221,","PNWR,",1,"T2,","T,",YARD,Oregon,44.628611,-123.105555,"Oregon
(44.628611, -123.105555)"
Derailments,2013:11:PNWR:PNW462513D,0,0,16754,68625,2,0,0,POLK,11/3/2013 0:00,4:35,2013,2014,"T220,","PNWR,",1,"T2,","T,",MAIN,Oregon,44.8244,-123.105294,"Oregon
(44.8244, -123.105294)"
Derailments,2015:01:UP:0115PD021,0,0,144482,119612,0,0,0,LINN,1/1/2015 0:00,21:24,2015,2015,"T113,T205,","PNWR,UP,",1,"T1,T2,","T,",INDUSTRY,Oregon,44.63391,-123.095833,"Oregon
(44.63391, -123.095833)"
Derailments,2012:07:PNWR:PNW262312D,0,0,78000,36000,0,0,0,LINN,7/11/2012 0:00,17:03,2012,2012,"T109,","PNWR,",3,"T1,","T,",MAIN,Oregon,44.76674,-123.092827,"Oregon
(44.76674, -123.092827)"
Derailments,2016:07:UP:0716ES008,0,0,0,30345,0,0,0,MARION,7/14/2016 0:00,8:30,2016,2016,"E29C,","UP,",NA,"E2,","E,",MAIN,Oregon,44.719662,-123.006806,"Oregon
(44.719662, -123.006806)"
Derailments,2011:11:PSAP:110542,0,0,23000,1800,0,0,0,LEWIS,11/5/2011 0:00,14:20,2011,2012,"H307,","PSAP,UP,",7,"H3,","H,",YARD,Washington,46.747336,-122.989915,"Washington
(46.747336, -122.989915)"
Obstruction impact,2016:06:BNSF:NW0616114,0,0,0,16931,0,0,0,LEWIS,6/11/2016 0:00,19:24,2016,2016,"M404,","ATK,BNSF,",2,"M4,","M,",MAIN,Washington,46.382345,-122.984848,"Washington
(46.382345, -122.984848)"
Other events,2016:05:BNSF:NW0516106,0,0,42000,0,0,0,0,LEWIS,5/18/2016 0:00,6:30,2016,2016,"H605,H702,","BNSF,",9,"H6,H7,","H,",MAIN,Washington,46.649808,-122.969922,"Washington
(46.649808, -122.969922)"
Highway-rail impact,2014:06:BNSF:NW0614200,0,1,10000,1632,0,0,0,LEWIS,6/9/2014 0:00,15:45,2014,2014,"M308,","ATK,BNSF,",2,"M3,","M,",MAIN,Washington,46.70609,-122.957887,"Washington
(46.70609, -122.957887)"
Derailments,2015:12:BNSF:NW1215118,0,0,500,13607,0,0,0,LEWIS,12/29/2015 0:00,19:00,2015,2016,"T207,","BNSF,",1,"T2,","T,",YARD,Washington,46.718432,-122.952239,"Washington
(46.718432, -122.952239)"
Derailments,2011:12:BNSF:NW1211112,0,0,305780,150004,16,4,0,LEWIS,12/14/2011 0:00,7:45,2011,2012,"H607,H702,","BNSF,",1,"H6,H7,","H,",YARD,Washington,46.738567,-122.943442,"Washington
(46.738567, -122.943442)"
Highway-rail impact,2014:08:UP:0814PD019,0,1,0,52383,0,0,0,MARION,8/25/2014 0:00,14:12,2014,2014,"M304,","ATK,UP,",2,"M3,","M,",MAIN,Oregon,44.780951,-122.938145,"Oregon
(44.780951, -122.938145)"
Side collision,2012:11:BNSF:NW1112126,0,0,0,39508,0,0,0,COWLITZ,11/19/2012 0:00,24:00:00,2012,2013,"H302,H018,","BNSF,LS,",7,"H3,H0,H3,H0,","H,",YARD,Washington,46.11921,-122.92174,"Washington
(46.11921, -122.92174)"
Highway-rail impact,2014:11:BNSF:NW1114200,0,0,1100,15000,0,0,0,LEWIS,11/20/2014 0:00,18:00,2014,2015,"M304,","BNSF,",1,"M3,","M,",MAIN,Washington,46.574999,-122.909461,"Washington
(46.574999, -122.909461)"
Other events,2014:04:BNSF:NW0414101,0,0,17200,0,0,0,0,COWLITZ,4/3/2014 0:00,16:14,2014,2014,"S011,","BNSF,",1,"S0,","S,",MAIN,Washington,46.202019,-122.900493,"Washington
(46.202019, -122.900493)"
Derailments,2012:11:UP:1112PD002,0,0,9236,1794,0,0,0,THURSTON,11/9/2012 0:00,16:20,2012,2013,"H606,","TMBL,UP,",1,"H6,","H,",YARD,Washington,47.020681,-122.89817,"Washington
(47.020681, -122.89817)"
Derailments,2013:11:BNSF:NW1113102,0,0,7000,135810,0,0,0,COWLITZ,11/10/2013 0:00,22:45,2013,2014,"T201,","BNSF,",1,"T2,","T,",YARD,Washington,46.098971,-122.879651,"Washington
(46.098971, -122.879651)"
Other events,2015:02:BNSF:NW0215118,0,0,0,20000,0,0,0,THURSTON,2/17/2015 0:00,14:00,2015,2015,"H997,","BNSF,",NA,"H9,","H,",MAIN,Washington,46.794897,-122.876071,"Washington
(46.794897, -122.876071)"
Derailments,2014:12:BNSF:NW1214111,0,0,1000,13117,0,0,0,PIERCE,12/15/2014 0:00,12:40,2014,2015,"H607,H702,","BNSF,",1,"H6,H7,","H,",YARD,Washington,46.894916,-122.8625,"Washington
(46.894916, -122.8625)"
Obstruction impact,2015:06:BNSF:NW0615116,0,0,0,52917,0,0,0,THURSTON,6/15/2015 0:00,19:00,2015,2015,"M503,","ATK,BNSF,",NA,"M5,","M,",MAIN,Washington,46.852245,-122.860965,"Washington
(46.852245, -122.860965)"
Highway-rail impact,2011:12:UP:1211PD009,0,0,11020,6465,0,0,0,MARION,12/15/2011 0:00,11:05,2011,2012,"M304,","UP,",1,"M3,","M,",MAIN,Oregon,45.145864,-122.85205,"Oregon
(45.145864, -122.85205)"
Derailments,2014:05:BNSF:NW0514106,0,0,14812,2200,0,0,0,COWLITZ,5/11/2014 0:00,15:17,2014,2014,"H704,","BNSF,",1,"H7,","H,",YARD,Washington,46.015789,-122.850081,"Washington
(46.015789, -122.850081)"
Fire/violent rupture,2015:09:BNSF:NW0915120,0,0,0,13066,0,0,0,COWLITZ,9/21/2015 0:00,16:49,2015,2015,"E74L,","BNSF,UP,",7,"E7,","E,",YARD,Washington,45.994795,-122.841028,"Washington
(45.994795, -122.841028)"
Derailments,2015:05:UP:0515PD021,0,0,100,20000,0,0,0,THURSTON,5/22/2015 0:00,1:35,2015,2015,"H704,H702,","TMBL,UP,",7,"H7,","H,",SIDING,Washington,46.969784,-122.83188,"Washington
(46.969784, -122.83188)"
Derailments,2011:05:PNWR:PNW14211D,0,0,414518,195316,13,3,1,MULTNOMAH,5/4/2011 0:00,24:43:00,2011,2011,"E53C,","PNWR,",16,"E5,","E,",MAIN,Oregon,45.629341,-122.821784,"Oregon
(45.629341, -122.821784)"
Derailments,2011:06:UP:0611PD002,0,0,8941,11555,0,0,0,MULTNOMAH,6/4/2011 0:00,19:30,2011,2011,"T207,","UP,",7,"T2,","T,",YARD,Oregon,45.634532,-122.773048,"Oregon
(45.634532, -122.773048)"
Obstruction impact,2013:08:XTLS:INDUSTRY,0,0,15000,4212,0,0,0,MULTNOMAH,8/17/2013 0:00,2:50,2013,2013,"H307,","UP,",7,"H3,","H,",INDUSTRY,Oregon,45.598212,-122.768596,"Oregon
(45.598212, -122.768596)"
Derailments,2014:12:UP:1214PD008,0,0,77835,163830,0,0,0,MULTNOMAH,12/9/2014 0:00,9:14,2014,2015,"T204,","UP,",1,"T2,","T,",YARD,Oregon,45.615137,-122.763318,"Oregon
(45.615137, -122.763318)"
Derailments,2013:12:UP:1213PD013,0,0,32960,17863,0,0,0,MULTNOMAH,12/19/2013 0:00,4:10,2013,2014,"T220,","UP,",1,"T2,","T,",YARD,Oregon,45.60539,-122.759954,"Oregon
(45.60539, -122.759954)"
Derailments,2016:05:UP:0516PD012,0,0,5047,34976,0,0,0,MULTNOMAH,5/23/2016 0:00,9:55,2016,2016,"T316,","UP,",7,"T3,","T,",YARD,Oregon,45.605336,-122.759947,"Oregon
(45.605336, -122.759947)"
Derailments,2011:10:ZCLM:INDUSTRY,0,0,500,70000,0,0,0,COWLITZ,10/4/2011 0:00,23:55,2011,2012,"T202,","BNSF,",1,"T2,","T,",INDUSTRY,Washington,45.917207,-122.756186,"Washington
(45.917207, -122.756186)"
Derailments,2012:07:BNSF:NW0712112,0,0,50000,25000,0,0,0,COWLITZ,7/18/2012 0:00,18:55,2012,2012,"H994,","ATK,BNSF,",2,"H9,","H,",MAIN,Washington,45.876898,-122.753304,"Washington
(45.876898, -122.753304)"
Derailments,2013:12:BNSF:NW1213107,0,0,16300,12506,0,0,0,CLARK,12/20/2013 0:00,21:50,2013,2014,"E53C,","BNSF,UP,",1,"E5,","E,",MAIN,Washington,45.831855,-122.749371,"Washington
(45.831855, -122.749371)"
Derailments,2014:04:UP:0414PD007,0,0,73284,17420,1,1,0,MULTNOMAH,4/19/2014 0:00,22:05,2014,2014,"T207,","UP,",51,"T2,","T,",YARD,Oregon,45.604594,-122.74427,"Oregon
(45.604594, -122.74427)"
Derailments,2014:12:UP:1214PD014,0,0,81434,13258,0,0,0,MULTNOMAH,12/22/2014 0:00,23:20,2014,2015,"H523,","UP,",7,"H5,","H,",INDUSTRY,Oregon,45.604875,-122.743671,"Oregon
(45.604875, -122.743671)"
Derailments,2013:10:UP:1013PD013,0,0,1470,50990,0,0,0,MULTNOMAH,10/25/2013 0:00,1:28,2013,2014,"E71L,","UP,",1,"E7,","E,",YARD,Oregon,45.603978,-122.741717,"Oregon
(45.603978, -122.741717)"
Derailments,2016:05:BNSF:NW0516112,0,0,20000,385,1,1,0,MULTNOMAH,5/29/2016 0:00,2:15,2016,2016,"H702,","BNSF,",7,"H7,","H,",YARD,Oregon,45.560021,-122.740569,"Oregon
(45.560021, -122.740569)"
Derailments,2013:06:UP:0613PD016,0,0,100,39390,0,0,0,MULTNOMAH,6/26/2013 0:00,17:45,2013,2013,"H703,","UP,",7,"H7,","H,",YARD,Oregon,45.600358,-122.733035,"Oregon
(45.600358, -122.733035)"
Derailments,2016:04:BNSF:NW0416109,0,0,1000,16027,1,1,0,CLARK,4/13/2016 0:00,4:20,2016,2016,"H702,","BNSF,",7,"H7,","H,",INDUSTRY,Washington,45.648854,-122.726898,"Washington
(45.648854, -122.726898)"
Other impacts,2013:06:PTO:AR06301301,0,0,2000,116061,3,3,0,MULTNOMAH,6/30/2013 0:00,15:10,2013,2013,"H020,","PTO,",7,"H0,","H,",YARD,Oregon,45.5486,-122.7109,"Oregon
(45.5486, -122.7109)"
Derailments,2014:07:PTO:07281401,0,0,11693,4434,0,0,0,MULTNOMAH,7/28/2014 0:00,21:30,2014,2014,"T319,","PTO,",7,"T3,","T,",YARD,Oregon,45.5486,-122.7109,"Oregon
(45.5486, -122.7109)"
Derailments,2015:08:PTO:08081501,0,0,2500,8500,0,0,0,MULTNOMAH,8/8/2015 0:00,6:00,2015,2015,"H703,","PTO,",7,"H7,","H,",YARD,Oregon,45.5486,-122.7109,"Oregon
(45.5486, -122.7109)"
Derailments,2013:05:BNSF:NW0513102,0,0,1000,17340,0,0,0,MULTNOMAH,5/4/2013 0:00,11:26,2013,2013,"H607,","BNSF,",7,"H6,","H,",INDUSTRY,Oregon,45.607886,-122.709672,"Oregon
(45.607886, -122.709672)"
Other impacts,2013:08:BNSF:NW0813125,0,0,0,12308,4,0,0,WHATCOM,8/25/2013 0:00,11:50,2013,2013,"H018,","BNSF,",6,"H0,","H,",YARD,Washington,48.91147,-122.70467,"Washington
(48.91147, -122.70467)"
Derailments,2010:12:BNSF:NW1210110,0,0,1000,24688,27,0,0,CLARK,12/10/2010 0:00,2:30,2010,2011,"H504,","BNSF,",1,"H5,","H,",YARD,Washington,45.66257,-122.69871,"Washington
(45.66257, -122.69871)"
Derailments,2011:10:UP:1011PD008,0,0,0,9835,5,0,0,MULTNOMAH,10/14/2011 0:00,14:15,2011,2012,"M507,","UP,",17,"M5,","M,",YARD,Oregon,45.560618,-122.698138,"Oregon
(45.560618, -122.698138)"
Derailments,2014:06:UP:0614PD010,0,0,62330,19437,15,0,0,MULTNOMAH,6/19/2014 0:00,3:04,2014,2014,"T314,","UP,",1,"T3,","T,",YARD,Oregon,45.560545,-122.697781,"Oregon
(45.560545, -122.697781)"
Derailments,2012:05:UP:0512PD010,0,0,198,10154,2,0,0,MULTNOMAH,5/19/2012 0:00,22:35,2012,2012,"T101,","UP,",7,"T1,","T,",YARD,Oregon,45.554779,-122.693714,"Oregon
(45.554779, -122.693714)"
Derailments,2011:09:UP:0911PD005,0,0,0,17802,1,0,0,MULTNOMAH,9/7/2011 0:00,1:45,2011,2011,"H307,","UP,",7,"H3,","H,",YARD,Oregon,45.55273,-122.691347,"Oregon
(45.55273, -122.691347)"
Raking collision,2014:09:BNSF:NW0914101,0,0,0,29010,0,0,0,CLARK,9/13/2014 0:00,13:06,2014,2014,"H307,","BNSF,",78,"H3,","H,",YARD,Washington,45.664059,-122.69087,"Washington
(45.664059, -122.69087)"
Derailments,2015:10:BNSF:NW1015104,0,0,7700,7094,0,0,0,CLARK,10/13/2015 0:00,13:45,2015,2016,"H307,H303,","BNSF,",7,"H3,","H,",YARD,Washington,45.652996,-122.688406,"Washington
(45.652996, -122.688406)"
Derailments,2016:03:BNSF:NW0316104,0,0,9538,8724,0,0,0,CLARK,3/8/2016 0:00,19:30,2016,2016,"H503,","BNSF,",1,"H5,","H,",YARD,Washington,45.648568,-122.688193,"Washington
(45.648568, -122.688193)"
Side collision,2013:01:BNSF:NW0113102,0,0,0,12598,0,0,0,CLARK,1/4/2013 0:00,2:20,2013,2013,"H018,H302,","BNSF,",75,"H0,H3,H0,H3,","H,",YARD,Washington,45.645694,-122.687987,"Washington
(45.645694, -122.687987)"
Derailments,2011:12:BNSF:NW1211122,0,0,34500,21000,29,0,0,CLARK,12/24/2011 0:00,14:20,2011,2012,"T399,","BNSF,",1,"T3,","T,",MAIN,Washington,45.641368,-122.687458,"Washington
(45.641368, -122.687458)"
Raking collision,2014:06:BNSF:NW0614123,0,0,0,56789,3,2,0,CLARK,6/27/2014 0:00,5:30,2014,2014,"H318,","BNSF,",7,"H3,","H,",YARD,Washington,45.634135,-122.686733,"Washington
(45.634135, -122.686733)"
Derailments,2013:01:XPOV:INDUSTRY,0,0,500,35779,4,2,0,CLARK,1/6/2013 0:00,19:17,2013,2013,"T110,","BNSF,",7,"T1,","T,",INDUSTRY,Washington,45.632715,-122.686588,"Washington
(45.632715, -122.686588)"
Derailments,2016:04:BNSF:NW0416108,0,0,1000,10712,0,0,0,CLARK,4/13/2016 0:00,18:00,2016,2016,"T307,","BNSF,",7,"T3,","T,",YARD,Washington,45.635946,-122.686486,"Washington
(45.635946, -122.686486)"
Derailments,2011:07:UP:0711PD020,0,0,0,10423,5,0,0,MULTNOMAH,7/27/2011 0:00,20:27,2011,2011,"M405,","UP,",1,"M4,","M,",YARD,Oregon,45.543899,-122.685613,"Oregon
(45.543899, -122.685613)"
Derailments,2012:03:UP:0312PD002,0,0,93864,665,5,0,0,MULTNOMAH,3/9/2012 0:00,5:50,2012,2012,"M201,M204,","UP,",7,"M2,","M,",YARD,Oregon,45.543129,-122.684703,"Oregon
(45.543129, -122.684703)"
Derailments,2014:01:UP:0114PD007,0,0,1500,17360,0,0,0,MULTNOMAH,1/18/2014 0:00,14:22,2014,2014,"T207,","UP,",8,"T2,","T,",YARD,Oregon,45.542983,-122.684249,"Oregon
(45.542983, -122.684249)"
Other impacts,2016:03:UP:0316PD007,0,0,0,22934,0,0,0,MULTNOMAH,3/7/2016 0:00,11:00,2016,2016,"H312,","UP,",8,"H3,","H,",YARD,Oregon,45.544302,-122.684116,"Oregon
(45.544302, -122.684116)"
Derailments,2016:03:UP:0316PD003,0,0,500,37033,0,0,0,MULTNOMAH,3/7/2016 0:00,19:45,2016,2016,"H702,","UP,",8,"H7,","H,",YARD,Oregon,45.54193,-122.683737,"Oregon
(45.54193, -122.683737)"
Other events,2014:12:BNSF:NW1214105,0,0,40945,0,0,0,0,CLARK,12/9/2014 0:00,10:00,2014,2015,"H702,","BNSF,",8,"H7,","H,",YARD,Washington,45.628338,-122.68244,"Washington
(45.628338, -122.68244)"
Derailments,2013:02:UP:0213PD013,0,0,10505,16410,0,0,0,MULTNOMAH,2/24/2013 0:00,10:45,2013,2013,"M405,","UP,",7,"M4,","M,",YARD,Oregon,45.545578,-122.681644,"Oregon
(45.545578, -122.681644)"
Derailments,2014:03:UP:0314PD007,0,0,112877,19786,0,0,0,MULTNOMAH,3/13/2014 0:00,9:40,2014,2014,"H306,","UP,",7,"H3,","H,",YARD,Oregon,45.545578,-122.681644,"Oregon
(45.545578, -122.681644)"
Derailments,2014:10:UP:1014PD002,0,0,23123,19553,0,0,0,MULTNOMAH,10/1/2014 0:00,12:45,2014,2015,"M101,","UP,",7,"M1,","M,",YARD,Oregon,45.545578,-122.681644,"Oregon
(45.545578, -122.681644)"
Derailments,2013:05:UP:0513PD004,0,0,297,44543,0,0,0,MULTNOMAH,5/11/2013 0:00,10:50,2013,2013,"H303,","UP,",7,"H3,","H,",INDUSTRY,Oregon,45.544162,-122.678341,"Oregon
(45.544162, -122.678341)"
Fire/violent rupture,2016:01:PTO:ZZZZZZZZZZ,0,0,0,500000,0,0,0,MULTNOMAH,1/20/2016 0:00,16:30,2016,2016,"M406,","ATK,",2,"M4,","M,",YARD,Oregon,45.529091,-122.676228,"Oregon
(45.529091, -122.676228)"
Derailments,2016:08:UP:0816PD011,0,0,0,18620,6,0,0,MULTNOMAH,8/25/2016 0:00,2:09,2016,2016,"H702,","UP,",1,"H7,","H,",YARD,Oregon,45.534255,-122.673707,"Oregon
(45.534255, -122.673707)"
Derailments,2012:05:UP:0512PD008,0,0,19995,29446,4,0,0,MULTNOMAH,5/19/2012 0:00,13:45,2012,2012,"H505,","UP,",1,"H5,","H,",MAIN,Oregon,45.534116,-122.673271,"Oregon
(45.534116, -122.673271)"
Derailments,2014:10:UP:1014PD001,0,0,33,15965,0,0,0,MULTNOMAH,10/2/2014 0:00,12:30,2014,2015,"M299,","UP,",7,"M2,","M,",YARD,Oregon,45.534116,-122.673271,"Oregon
(45.534116, -122.673271)"
Derailments,2015:06:UP:0615PD022,0,0,2000,15000,0,0,0,MULTNOMAH,6/12/2015 0:00,10:00,2015,2015,"T108,","UP,",8,"T1,","T,",YARD,Oregon,45.534116,-122.673271,"Oregon
(45.534116, -122.673271)"
Derailments,2012:06:UP:0612PD003,0,0,20749,0,6,0,0,MULTNOMAH,6/4/2012 0:00,14:50,2012,2012,"T199,","UP,",1,"T1,","T,",MAIN,Oregon,45.529454,-122.66797,"Oregon
(45.529454, -122.66797)"
Derailments,2012:06:UP:0612PD007,0,0,169427,35138,2,0,0,MULTNOMAH,6/13/2012 0:00,16:20,2012,2012,"T199,","UP,",1,"T1,","T,",MAIN,Oregon,45.529456,-122.667953,"Oregon
(45.529456, -122.667953)"
Derailments,2015:06:UP:0615PD007,0,0,11167,7474,12,0,0,MULTNOMAH,6/10/2015 0:00,11:30,2015,2015,"H508,H525,","UP,",1,"H5,","H,",MAIN,Oregon,45.522446,-122.664824,"Oregon
(45.522446, -122.664824)"
